i;r;s;tx;trm;tm
eng;soa;rus;0.05226480836236934;0.0018807947019867548;0.004854368932038731
eng;soa;soa;0.0033255571549114012;0.0531809636885327;0.0
its;Unnamed: 10;afr;0.0;0.0;0.0
its;Unnamed: 10;asia;0.0;0.0;0.0
its;Unnamed: 10;cis;0.0;0.0;0.0
its;Unnamed: 10;eur;0.0;0.0;0.0
its;Unnamed: 10;noa;0.0;0.0;0.0
its;Unnamed: 10;oce;0.0;0.0;0.0
its;Unnamed: 10;row;0.0;0.0;0.0
its;Unnamed: 10;rus;0.0;0.0;0.0
its;Unnamed: 10;soa;0.0;0.0;0.0
its;afr;Unnamed: 10;0.0;0.0;0.0
its;afr;afr;0.0;0.0;0.0
its;afr;asia;0.0;0.0;0.0
its;afr;cis;0.0;0.0;0.0
its;afr;eur;0.0;0.0;0.0
its;afr;noa;0.0;0.0;0.0
its;afr;oce;0.0;0.0;0.0
its;afr;row;0.0;0.0;0.0
its;afr;rus;0.0;0.0;0.0
its;afr;soa;0.0;0.0;0.0
its;asia;Unnamed: 10;0.0;0.0;0.0
its;asia;afr;0.0;0.0;0.0
its;asia;asia;0.0;0.0;0.0
its;asia;cis;0.0;0.0;0.0
its;asia;eur;0.0;0.0;0.0
its;asia;noa;0.0;0.0;0.0
its;asia;oce;0.0;0.0;0.0
its;asia;row;0.0;0.0;0.0
its;asia;rus;0.0;0.0;0.0
its;asia;soa;0.0;0.0;0.0
its;cis;Unnamed: 10;0.0;0.0;0.0
its;cis;afr;0.0;0.0;0.0
its;cis;asia;0.0;0.0;0.0
its;cis;cis;0.0;0.0;0.0
its;cis;eur;0.0;0.0;0.0
its;cis;noa;0.0;0.0;0.0
its;cis;oce;0.0;0.0;0.0
its;cis;row;0.0;0.0;0.0
its;cis;rus;0.0;0.0;0.0
its;cis;soa;0.0;0.0;0.0
its;eur;Unnamed: 10;0.0;0.0;0.0
its;eur;afr;0.0;0.0;0.0
its;eur;asia;0.0;0.0;0.0
its;eur;cis;0.0;0.0;0.0
its;eur;eur;0.0;0.0;0.0
its;eur;noa;0.0;0.0;0.0
its;eur;oce;0.0;0.0;0.0
its;eur;row;0.0;0.0;0.0
its;eur;rus;0.0;0.0;0.0
its;eur;soa;0.0;0.0;0.0
its;noa;Unnamed: 10;0.0;0.0;0.0
its;noa;afr;0.0;0.0;0.0
its;noa;asia;0.0;0.0;0.0
its;noa;cis;0.0;0.0;0.0
its;noa;eur;0.0;0.0;0.0
its;noa;noa;0.0;0.0;0.0
